LLM,Condition,Expected N,Measured N,Accuracy,OK,REFUSAL,PARSE_FAILURE,TRUNCATED,ERROR
Llama 3.3 70B,WITHOUT_CONTEXT,1000,1000,0.571,1000,0,0,0,0
Llama 3.3 70B,BM25,1000,1000,0.656,1000,0,0,0,0
Llama 3.3 70B,DPR,1000,1000,0.579,1000,0,0,0,0
Llama 3.3 70B,Contriever,1000,1000,0.691,1000,0,0,0,0
Llama 3.3 70B,ColBERTv2,1000,1000,0.708,1000,0,0,0,0
Gemma 4 26B,WITHOUT_CONTEXT,1000,998,0.45991983967935873,998,0,2,0,0
Gemma 4 26B,BM25,1000,998,0.40380761523046094,998,0,2,0,0
Gemma 4 26B,DPR,1000,971,0.3192584963954686,971,0,29,0,0
Gemma 4 26B,Contriever,1000,1000,0.461,1000,0,0,0,0
Gemma 4 26B,ColBERTv2,1000,1000,0.496,1000,0,0,0,0
Qwen3.6 36B,WITHOUT_CONTEXT,1000,1000,0.559,1000,0,0,0,0
Qwen3.6 36B,BM25,1000,1000,0.596,1000,0,0,0,0
Qwen3.6 36B,DPR,1000,999,0.4974974974974975,999,0,0,1,0
Qwen3.6 36B,Contriever,1000,1000,0.653,1000,0,0,0,0
Qwen3.6 36B,ColBERTv2,1000,1000,0.673,1000,0,0,0,0
