block,condition,retriever,llm,OK,PARSE_FAILURE,TRUNCATED,REFUSAL,ERROR,Total
1,WITHOUT_CONTEXT,shared,Llama 3.3 70B,1000,0,0,0,0,1000
2,WITHOUT_CONTEXT,shared,Gemma 4 26B,998,2,0,0,0,1000
3,WITHOUT_CONTEXT,shared,Qwen3.6 36B,1000,0,0,0,0,1000
4,WITH_CONTEXT,bm25,Llama 3.3 70B,1000,0,0,0,0,1000
5,WITH_CONTEXT,bm25,Gemma 4 26B,998,2,0,0,0,1000
6,WITH_CONTEXT,bm25,Qwen3.6 36B,1000,0,0,0,0,1000
7,WITH_CONTEXT,dpr,Llama 3.3 70B,1000,0,0,0,0,1000
8,WITH_CONTEXT,dpr,Gemma 4 26B,971,29,0,0,0,1000
9,WITH_CONTEXT,dpr,Qwen3.6 36B,999,0,1,0,0,1000
10,WITH_CONTEXT,contriever,Llama 3.3 70B,1000,0,0,0,0,1000
11,WITH_CONTEXT,contriever,Gemma 4 26B,1000,0,0,0,0,1000
12,WITH_CONTEXT,contriever,Qwen3.6 36B,1000,0,0,0,0,1000
13,WITH_CONTEXT,colbertv2,Llama 3.3 70B,1000,0,0,0,0,1000
14,WITH_CONTEXT,colbertv2,Gemma 4 26B,1000,0,0,0,0,1000
15,WITH_CONTEXT,colbertv2,Qwen3.6 36B,1000,0,0,0,0,1000
