LLM,Retriever,Paired N,WITHOUT accuracy,WITH accuracy,Mean difference,95% CI lower,95% CI upper,Interpretation
Llama 3.3 70B,BM25,1000,0.571,0.656,0.085,0.058,0.112,Positive effect
Llama 3.3 70B,DPR,1000,0.571,0.579,0.008,-0.024,0.04,95% CI includes zero
Llama 3.3 70B,Contriever,1000,0.571,0.691,0.12,0.092,0.149,Positive effect
Llama 3.3 70B,ColBERTv2,1000,0.571,0.708,0.137,0.108,0.166,Positive effect
Gemma 4 26B,BM25,996,0.45883534136546184,0.4046184738955823,-0.05421686746987952,-0.09337349397590361,-0.01606425702811245,Negative effect
Gemma 4 26B,DPR,969,0.4613003095975232,0.31991744066047473,-0.14138286893704852,-0.1826625386996904,-0.1001031991744066,Negative effect
Gemma 4 26B,Contriever,998,0.45991983967935873,0.46092184368737477,0.001002004008016032,-0.03707414829659319,0.041082164328657314,95% CI includes zero
Gemma 4 26B,ColBERTv2,998,0.45991983967935873,0.49599198396793587,0.036072144288577156,-0.003006012024048096,0.07615230460921844,95% CI includes zero
Qwen3.6 36B,BM25,1000,0.559,0.596,0.037,0.003,0.071,Positive effect
Qwen3.6 36B,DPR,999,0.5585585585585585,0.4974974974974975,-0.06106106106106106,-0.0990990990990991,-0.022022022022022022,Negative effect
Qwen3.6 36B,Contriever,1000,0.559,0.653,0.094,0.062,0.127,Positive effect
Qwen3.6 36B,ColBERTv2,1000,0.559,0.673,0.114,0.082,0.146,Positive effect
